"Same", "Same", 1
"Same", "Same", 1

"Utkonos", "Полотенца бумажные Veiro Classic белые 2-х слойные 4 рулона", 10100
"Komus", "Полотенца бумажные VEIRO Classic 2-сл.,с тисн., 4рул./уп.", 10073

"Utkonos", "Сыр Умалат Адыгейский 45%, 370г в/у", 24100
"Cont", "Сыр Адыгейский  45% 370г Умалат", 23000

"Cont", "Кофе Nescafe Classic (Нескафе Классик) растворимый 50г ж/б", 7290
"Utkonos", "Кофе Nescafe Classic растворимый 50г ж/б", 8910

"Utkonos", "Нож Samura Eco кухонный универсальный, 125 мм", 85900
"Komus", "Нож кухонный  Samura Eco  универ.12,5см черная керам.SC-0021B", 129887

"Cont", "Гуляш с макаронами \СытоЕдов\ 0,35кг замороженное блюдо", 15000
"Utkonos", "Гуляш Сытоедов с макаронами 350г", 15000

"Komus", "Молоко Parmalat  1,8% 1000мл", 5882
"Utkonos", "Молоко Parmalat ультрапастеризованное 1,8%, 1л", 6530

"Cont", "Азу с рисом \СытоЕдов\ 350г замороженное блюдо", 15000
"Utkonos", "Азу Сытоедов с рисом 350г", 15000

"Cont", "Малина 125г", 34000
"Utkonos", "Малина 125г", 49900

"Cont", "Коктейль из морепродуктов \Меридиан\ в масле 200г мультивак", 13000
"Utkonos", "Коктейль Меридиан из морепродуктов в масле 200г", 13000

"Cont", "Физалис 100г", 14000
"Utkonos", "Физалис 100г", 14500

"Cont", "Нектар \Любимый\ яблоко 1,93л", 11000
"Utkonos", "Нектар Любимый Яблоко 1,93л", 10200

"Cont", "Нектар \Фруктовый сад\ абрикос-яблоко с мякотью 1,93л", 7890
"Utkonos", "Нектар Фруктовый сад абрикосово-яблочный с мякотью 1,93л", 11000

"Cont", "Нектар \Фруктовый сад\ груша и яблоко с мякотью 0,95л", 6790
"Utkonos", "Нектар Фруктовый сад грушево-яблочный с мякотью 0,95л", 6160

"Cont", "Нектар Фруктовый сад яблоко-виноград осветленный 1,93л", 7890
"Utkonos", "Нектар Фруктовый сад яблочно-виноградный осветленный 1,93л", 11000

"Cont", "Нектар Фруктовый сад груша и яблоко с мякотью 1,93л", 12000
"Utkonos", "Нектар Фруктовый сад грушево-яблочный с мякотью 1,93л", 12200

"Cont", "Нектар Любимый апельсин 1,93л", 11000
"Utkonos", "Нектар Любимый Апельсин 1,93л", 10200

"Cont", "Нектар Любимый мультифрукт 1,93л", 11000
"Utkonos", "Нектар Любимый Мультифруктовый 1,93л", 10500

"Cont", "Нектар Фруктовый сад персик-яблоко с мякотью 1,93л", 7890
"Utkonos", "Нектар Фруктовый сад персиково-яблочный с мякотью 1,93л", 11000

"Cont", "Нектар Фруктовый сад апельсин с мякотью 1,93л", 7890
"Utkonos", "Нектар Фруктовый сад апельсиновый с мякотью 1,93л", 11000

"Cont", "Нектар Фруктовый сад ананас 0,95л", 5890
"Utkonos", "Нектар Фруктовый сад ананасовый, 0,95л", 6090

"Komus", "Молоко Простоквашино 2,5% 0,95л", 6898
"Utkonos", "Молоко Простоквашино ультрапастеризованное 2,5%, 0,95л", 5900

"Komus", "Кофе растворимый Nescafe Gold (190г, стекло)", 39720
"Utkonos", "Кофе Nescafe Gold растворимый 190г стекло", 39900

"Cont", "Масло сливочное Рузское 82,5% 175г", 17000
"Utkonos", "Масло сливочное традиционное Рузское 82,5%, 175г", 16500

"Cont", "Семга Русское море слабосоленая 120г ломтики", 24000
"Utkonos", "Семга Русское море нарезка слабосоленая в/у 120г", 25100

"Cont", "Нектар Фруктовый сад груша и яблоко с мякотью 1,93л", 12000
"Utkonos", "Нектар Фруктовый сад грушево-яблочный с мякотью 1,93л", 12200

"Cont", "Кольца кальмара сушеные 70г Сухогруз", 19000
"Utkonos", "Кальмар Сухогруз сушеный кольца, 70г", 18000

"Cont", "Напиток Pepsi Light (Пепси лайт) газированный 0,33л ж/б", 3190
"Utkonos", "Напиток Pepsi Light 0,33 л ж/б", 3160

"Cont", "Молоко Простоквашино 2,5% 0,95л ультрапастеризованное пакет", 6190
"Utkonos", "Молоко Простоквашино ультрапастеризованное 2,5%, 0,95л", 5900

"Cont", "Молоко Простоквашино топленое 4% 0,93л", 6790
"Utkonos", "Молоко Простоквашино топленое 4%, 0,93л", 6630

"Cont", "Молоко Можайское 1,5% 0,45л стерилизованное ст/бут", 6590
"Utkonos", "Молоко Можайское стерилизованное питьевое 1,5%, 0,45л", 6720

"Cont", "Молоко Простоквашино 1,5% 0,95л ультрапастеризованное", 6590
"Utkonos", "Молоко Простоквашино ультрапастеризованное 1,5%, 0,95л", 6650

"Cont", "Творог Благода 7,5% низкокалорийный 200г", 7790
"Utkonos", "Творог Благода низкокалорийный, 7,5% 200г", 6860

"Cont", "Сметана Простоквашино 15% 350г", 4990
"Utkonos", "Сметана Простоквашино 15%, 350г", 5900

"Cont", "Масло сливочное Из Вологды Вологодское 82,5% 180г", 16000
"Utkonos", "Масло Из Вологды Традиционное сливочное 82,5%, 180г", 17700

"Cont", "Масло сливочное Рузское 82,5% 175г", 17000
"Utkonos", "Масло сливочное традиционное Рузское 82,5%, 175г", 16500

