"Utkonos", "Туалетная бумага Zewa Deluxe персик 3-х слойная 8 рулонов", 18500
"Cont", "Туалетная бумага "Zewa" (Зева) Deluxe сирень 4-рулонов", 14000

"Utkonos", "Держатель Fehn для соски "Медвежонок Оскар"", 63900
"Komus", "Держатель для туалетной бумаги металлич.хромирован.3086", 22546

"Utkonos", "Нектар Я Вишня осветленный 0,97л", 9950
"Cont", "Нектар "J-7" вишня 0,97л пакет", 9490

"Utkonos", "Круассаны 7 Days мини с кремом какао 200г", 6730
"Cont", "Круассаны "7Days" (7дней) мини вареная сгущенка 200г пакет", 7090

"Utkonos", "Нектар J-7 Виноград-Яблоко 0,97л", 8200
"Cont", "Нектар \"J-7\" вишня 0,97л пакет", 9490

"Utkonos", "Чипсы Lays со вкусом сыра, 150г", 7350
"Cont", "Чипсы "Lays" (Лейс) с солью 150г", 5590

"Utkonos", "Напиток из Черноголовки Байкал безалкогольный сильногазированный 0,5л стекло", 4840
"Cont", "Напитки из Черноголовки "Буратино" газированный 1,0л ст/бут", 5790

"Utkonos", "Чай Lipton зеленый холодный 1,25л", 6100
"Cont", "Чай холодный "Lipton" (Липтон) лимон 1,25л", 5890

"Utkonos", "Икра "Белуга" осетра, 113г", 666000
"Cont", "Икра черная  осетровая зернистая 113г ст.банка", 679000

"Cont", "Нектар \"Любимый\" ананас 1,93л Тетрапак", 11000
"Utkonos", "Нектар Любимый Апельсин 1,93л", 10200

"Utkonos", "Шоколад Горький Lindt Еxcellence с кусочками апельсина и миндаля, 100г", 13000
"Cont", "Шоколад \"Верность Качеству\" Априори горький с цукатами апельсина и лепестками миндаля 100г", 13000

"Utkonos", "Биотворог ФрутоНяня с черникой для детей с 6 месяцев 4,2%, 100г", 4000
"Cont", "Биотворог детский \"Тема\" яблоко и морковь 4,2% 100г пл.стакан", 3390

"Utkonos", "Молоко Рогачевъ цельное сгущенное с сахаром, 380г", 7430
"Cont", "Молоко сгущенное цельное с сахаром \"Седьмой Континент\" ГОСТ 380г ж/б", 5890

"Utkonos", "Соус Barilla Basilico 400г стекло", 17500
"Cont", "Соус \"Grand' Italia\" (Гранд Италия) Piccante (Пикканте) 400г ст.банка", 26000

"Utkonos", "Напиток газированный детский Disney Виноград 0,75л", 19800
"Cont", "Напиток сокосодержащий \"Yoga\" (Йога) Оптимум персиковый с добавлением сахара 0,75л пл.бутылка Италия", 15000

"Cont", "Салфетки влажные \"Aura\" (Аура) антибактериальные 20шт", 2290
"Komus", "Салфетки PAW 3сл.33x33 Шары на серебряном фоне 20шт./уп.", 9400

"Cont", "Зубная щетка \"Sensodyne\" (Сенсодин) для чувствительных зубов", 28000
"Komus", "Зубная щетка для взрослых средней жесткости + подушечка для чистки языка", 3113

"Utkonos", "Тимьян на подложке 50г", 6800
"Cont", "Кинза на подложке 30г Россия", 2000

"Cont", "Шампунь \"Schauma\" (Шаума) мужской для волос и тела 380мл", 11000
"Komus", "Шампунь SCHAUMA для мужчин с хмелем 380мл", 11410

"Utkonos", "Нектар Фруктовый сад ананасовый неосветленный 1,93л", 11000
"Cont", "Нектар \"Фруктовый сад\" яблоко осветленный 1,93л", 7890

"Utkonos", "Нектар Любимый Персик и яблоко 1,45л", 8700
